as,fa,la,po
1.835,0,0,0
2.0128,0,0,0
2.0211,0,0,0
2.0671,0,0,0
2.1871,0,0,0
2.237,0,0,0
2.2431,0,0,0
2.4637,0,0,0
2.5955,0,0,0
2.6883,0,0,0
0,7.1892,0,0
0,8.5092,0,0
0,9.1874,0,0
0,10.0422,0,0
0,10.1776,0,0
0,10.8961,0,0
0,11.4744,0,0
0,11.7308,0,0
0,12.2875,0,0
0,14.1667,0,0
1.6836,4.0592,0,0
1.4012,4.362,0,0
0.6485,6.19,0,0
1.3646,5.7287,0,0
1.0286,6.1649,0,0
1.1873,6.3115,0,0
0.7533,7.2774,0,0
1.688,6.6499,0,0
1.1439,7.4981,0,0
0.7356,8.0579,0,0
0,0,2.1027,0
0,0,2.6002,0
0,0,2.9884,0
0,0,3.0026,0
0,0,3.065,0
0,0,3.1357,0
0,0,3.2306,0
0,0,3.493,0
0,0,3.559,0
0,0,3.6695,0
1.2897,0,0.9784,0
1.5346,0,1.2159,0
1.4692,0,1.3029,0
1.6039,0,1.2495,0
1.5429,0,1.5132,0
2.1011,0,1.0371,0
2.651,0,0.5636,0
1.7598,0,1.8513,0
2.9979,0,0.7767,0
2.1743,0,1.6482,0
0,5.5568,1.5574,0
0,5.863,1.4007,0
0,6.7231,1.2042,0
0,5.9053,2.0664,0
0,6.6653,1.5028,0
0,7.20131,1.4038,0
0,8.0853,1.0655,0
0,8.3222,1.1187,0
0,8.9702,1.2471,0
0,8.3718,2.0977,0
1.2103,4.1975,0.3425,0
1.498,3.7052,0.633,0
0.9834,3.9236,1.2294,0
1.1165,4.559,0.6068,0
1.8378,3.8664,0.6295,0
1.3289,4.7348,0.6171,0
1.0183,4.6471,1.0386,0
1.2437,5.2169,0.8294,0
0.8023,8.1355,0.2878,0
0.8811,11.8401,0.9217,0
0,0,0,1.9026
0,0,0,2.3484
0,0,0,2.356
0,0,0,2.9279
0,0,0,3.013
0,0,0,3.1047
0,0,0,3.1272
0,0,0,3.1994
0,0,0,3.5237
0,0,0,3.9313
0.893,0,0,0.9685
1.6254,0,0,0.6657
1.2697,0,0,1.2873000000000001
2.3042,0,0,0.2778
1.3689,0,0,1.4132
1.7891,0,0,1.1163
1.9882,0,0,1.0398
2.1344,0,0,1.212
1.9722,0,0,1.8547
2.1435,0,0,2.1332
0,6.6083,0,0.1511
0,5.5429,0,1.6035
0,6.683,0,0.6663
0,6.9377,0,1.0283
0,6.8451,0,1.4282
0,8.0235,0,1.6565
0,9.3041,0,0.4899
0,8.5424,0,1.5651
0,9.1758,0,1.2676
0,9.3508,0,2.0877
0,0,1.4483,1.1213
0,0,2.1836,0.4566
0,0,0.8733,1.7766
0,0,2.287,0.4977
0,0,1.8731,0.9737
0,0,1.8329,1.1232
0,0,2.2678,0.7925
0,0,1.341,2.1271
0,0,1.6829,2.0062
0,0,2.1536,2.637
0.9186,0,0.3466,0.7176
0.9739,0,0.9517,0.5257
1.0349,0,1.295,0.374
1.5061,0,0.8115,0.513
1.5335,0,1.1716,0.4084
1.4573,0,1.2148,0.5648
1.502,0,1.6238,0.2054
2.1037,0,0.6513,0.9355
1.3226,0,1.5954,1.3338
2.2107,0,1.0487,0.999
0,4.0587,1.2405,0.7879
0,4.5288,1.3629,0.8619
0,4.8425,0.9024,1.0481
0,4.4413,1.4124,0.9399
0,5.6004,1.0201,0.3492
0,4.8948,1.1617,1.0609
0,5.1809,1.1707,0.8991
0,4.9746,1.8116,1.1862
0,7.6879,0.9508,0.4229
0,8.2206,1.2137,0.5578
0.7105,2.4854,0.5781,0.5158
0.7324,3.3922,0.5911,0.277
1.2012,3.8233,0.7296,0.2766
0.7862,4.2002,0.5312,0.6893
0.6994,3.417,0.215,1.9598
0.9668,4.357,0.5509,0.6385
1.9417,3.5497,0.4195,0.6965
0.8645,5.1234,0.2628,0.3762
1.0865,5.4855,0.7858,0.2848
1.5271,4.8254,0.8044,0.8994
