as,fa,la,po
1.4711,0,0,0
1.7968,0,0,0
1.8993,0,0,0
2.0634,0,0,0
2.2665,0,0,0
2.3062,0,0,0
2.3571,0,0,0
2.4591,0,0,0
2.8099,0,0,0
3.1847,0,0,0
0,5.774,0,0
0,5.9155,0,0
0,6.1205,0,0
0,6.1685,0,0
0,6.493,0,0
0,6.6151,0,0
0,7.0063,0,0
0,8.0686,0,0
0,8.2209,0,0
0,8.5081,0,0
1.3212,2.5017,0,0
2.0254,1.8185,0,0
1.2237,2.6226,0,0
3.0367,1.3621,0,0
1.836,3.3019,0,0
1.1958,4.0829,0,0
1.9128,3.3878,0,0
2.8847,3.1331,0,0
1.2337,5.1469,0,0
4.7619,2.0977,0,0
0,0,0.8131,0
0,0,0.8477,0
0,0,0.8931,0
0,0,1.0069,0
0,0,1.1004,0
0,0,1.1016,0
0,0,1.2611,0
0,0,1.2676,0
0,0,1.4422,0
0,0,1.4863,0
1.036,0,0.4374,0
1.7032,0,0.4959,0
1.7924,0,0.4975,0
2.212,0,0.2876,0
2.158,0,0.3513,0
2.236,0,0.3475,0
2.4073,0,0.359,0
2.54,0,0.5433,0
2.4634,0,0.7007,0
3.2016,0,0.5911,0
0,2.329,0.663,0
0,3.3063,0.2964,0
0,3.8062,0.7461,0
0,4.0285,0.8923,0
0,4.3215,1.4273,0
0,4.2549,1.8313,0
0,4.8464,1.3476,0
0,5.4665,0.7804,0
0,6.0999,0.6718,0
0,6.6262,0.4895,0
2.231,1.1204,0.0905,0
1.945,1.9074,0.5896,0
2.2595,1.9005,0.3078,0
2.373,1.9318,0.334,0
1.6967,2.5529,0.8118,0
1.9172,2.759,0.3938,0
2.7389,1.7205,0.6208,0
2.289,2.3366,0.5168,0
2.776,2.3707,0.1261,0
2.0132,3.5537,0.4949,0
0,0,0,2.0062
0,0,0,2.2074
0,0,0,2.9558
0,0,0,3.0592
0,0,0,3.1185
0,0,0,3.5308
0,0,0,3.5788
0,0,0,3.9907
0,0,0,4.0316
0,0,0,4.1549
0,0,0,7.2862
1.1294,0,0,0.8987
1.3259,0,0,1.2747
1.1885,0,0,2.2328
0.4868,0,0,3.0713
1.4439,0,0,2.3667
2.5237,0,0,2.1634
2.1218,0,0,2.6323
1.9091,0,0,3.0254
2.0162,0,0,3.2237
0,1.6832,0,2.442
0,2.7138,0,1.9953
0,2.9892,0,2.0397
0,2.5208,0,2.5566
0,2.4858,0,3.0536
0,2.1077,0,3.5887
0,3.2172,0,2.5321
0,3.4098,0,2.8608
0,4.1148,0,3.5436
0,5.3754,0,3.4079
1.2168,1.2391,0,1.6126
0.4718,1.5214,0,2.3903
1.0043,2.4336,0,0.9864
1.2712,2.2445,0,2.1015
0.5923,2.0632,0,3.0455
0.8896,2.7082,0,2.5629
1.5636,3.3596,0,1.4794
1.1316,3.8897,0,1.7438
0.3904,3.1693,0,3.2742
2.2737,2.4181,0,2.3425
0,0,0.2258,2.5752
0,0,0.2735,3.391
0,0,0.7878,3.0297
0,0,0.4903,3.5314
0,0,0.5498,3.911
0,0,0.5178,3.9811
0,0,0.4571,4.2336
0,0,0.3303,4.5165
0,0,0.2923,5.6268
0,0,0.7519,5.2321
0.6807,0,0.176,1.3456
1.1706,0,0.2029,1.6108
1.7839,0,0.266,1.2552
0.5652,0,0.4938,2.4168
0.5658,0,0.2802,2.7278
1.0721,0,0.2841,2.3706
0.9006,0,0.1831,2.6617
1.0029,0,0.6045,2.8956
1.5101,0,0.3093,2.8968
2.214,0,0.3731,3.3364
0.6014,0.4969,0.123,1.3874
1.5096,0.5928,0.1885,1.871
0.7807,0.9669,0.4461,2.2194
0.3705,2.174,0.264,1.6733
1.1219,1.8011,0.239,1.4065
1.4751,1.3486,0.2474,1.5491
0.6021,1.9389,0.1817,2.7487
0.8973,1.6002,0.1156,3.2293
3.0384,1.4442,0.459,1.549
2.924,2.3903,0.2379,4.323
